Timestamp,RequestID,Endpoint,LatencyMS
2026-06-04 02:45:00,17be,Grounded Query Routing (Orchestrator),22514.595999999998
2026-06-04 02:45:00,b0c6,Grounded Query Routing (Orchestrator),22754.6915
2026-06-04 02:45:00,7588,Visual Question Answering (VQA),22125.519099999998
2026-06-04 02:45:01,6ec7,Caption Generation (BLIP),23723.1601
2026-06-04 02:45:02,1bca,Scene Analysis (MEDIUM),4454.6888
2026-06-04 02:45:02,ba2b,Scene Analysis (MEDIUM),3369.5948000000017
2026-06-04 02:45:02,cbfd,Grounded Query Routing (Orchestrator),23556.792299999997
2026-06-04 02:45:02,18fe,Visual Question Answering (VQA),22782.7676
2026-06-04 02:45:03,366f,Visual Question Answering (VQA),23002.6031
2026-06-04 02:45:04,2efc,Scene Analysis (FAST),396.91799999999944
2026-06-04 02:45:04,a42a,Visual Question Answering (VQA),24120.3765
2026-06-04 02:45:04,b6e6,Caption Generation (BLIP),26204.034999999996
2026-06-04 02:45:04,d573,Grounded Query Routing (Orchestrator),23038.238799999996
